dataset,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
corners3d,2,8,1,0.1454656056360271,0.782,0.732,0.05,0.1024655033733612,0.86,0.848,0.0003476745040244,0.1534019900486298,0.81,0.708,0.0003476134809479
corners3d,2,8,2,0.1422085155446531,0.808,0.728,0.05,0.1010918151458242,0.864,0.86,0.0002075257894266,0.1492593061041029,0.788,0.688,0.0001943314964644
corners3d,1,8,4,0.2026334589715863,0.7,0.664,0.05,0.1194261465921321,0.842,0.776,0.000714701494402,0.196847333356979,0.728,0.624,9.479152250684508e-05
corners3d,2,7,1,0.1398170774176985,0.806,0.696,0.05,0.1049223570294638,0.864,0.788,0.0002539828161158,0.162925992224516,0.762,0.704,0.0001415778793192
corners3d,2,5,0,0.1451824626070814,0.8,0.72,0.05,0.0898878230435552,0.888,0.816,0.000404422929572,0.1581811456561974,0.766,0.708,0.0002857553322385
corners3d,2,6,3,0.1404548759733085,0.792,0.788,0.05,0.1038979780171671,0.876,0.876,0.0001993640195867,0.1552531212196662,0.778,0.732,0.0002467253580307
corners3d,2,4,3,0.1498312168809778,0.766,0.716,0.05,0.1112434750277758,0.84,0.856,0.0009758949951467,0.1603556755315198,0.748,0.748,0.0008511493494186
corners3d,2,4,4,0.1578543885655989,0.752,0.748,0.05,0.1129222078569281,0.856,0.82,0.0004449254521134,0.1661635477000742,0.75,0.676,0.0005933521833185
corners3d,2,1,2,0.1712833053653159,0.738,0.66,0.05,0.1289338421400361,0.834,0.82,0.005229042878151,0.1961558666208207,0.692,0.672,0.0005840828931178
corners3d,2,1,3,0.1737483685503032,0.716,0.732,0.05,0.1389668461309068,0.812,0.82,0.0052052768349011,0.1887383400313156,0.712,0.72,0.0110738321580142
corners3d,2,1,4,0.1790096230655677,0.724,0.672,0.05,0.1393456542013587,0.808,0.812,0.0059832467470337,0.1958640107065217,0.698,0.66,0.0023139840743308
corners3d,2,2,0,0.1475740817617737,0.782,0.728,0.05,0.1171842324870795,0.862,0.796,0.0011281401061956,0.1612411769965529,0.78,0.728,0.0011238963787795
corners3d,2,2,1,0.152305362645438,0.778,0.768,0.05,0.110097278984325,0.864,0.796,0.0013184306880741,0.1694480038959152,0.726,0.716,0.0002575158431832
corners3d,2,2,3,0.1593818789479552,0.768,0.764,0.05,0.1401763300821675,0.788,0.792,0.0013772295285272,0.1727277369326741,0.738,0.712,0.0009920636293398
corners3d,2,2,4,0.1768711102386544,0.724,0.724,0.05,0.1274687173652128,0.796,0.796,0.0023580023192102,0.1881511103148423,0.7,0.696,0.0005822764244127
corners3d,2,2,2,0.1534255719722406,0.76,0.716,0.05,0.1422850108003244,0.766,0.756,0.0006848979709338,0.159388835267533,0.768,0.744,0.0004439498662641
corners3d,2,1,1,0.1700900936029755,0.748,0.74,0.05,0.1220588449847077,0.852,0.828,0.0046134511845723,0.1818163363639822,0.714,0.74,9.818442213853216e-05
corners3d,2,3,1,0.1563924011348827,0.774,0.716,0.05,0.1211099221568046,0.82,0.792,0.0001922968065488,0.1540138348445385,0.774,0.728,0.0001275357415636
corners3d,2,3,2,0.1544211314499114,0.778,0.72,0.05,0.1170170221319322,0.854,0.852,0.0003837604995421,0.1590569027148156,0.75,0.688,0.0007853477400957
corners3d,2,3,3,0.1520212688781702,0.78,0.732,0.05,0.1279532436424537,0.838,0.832,0.0005818675845476,0.1572372266536871,0.794,0.804,0.0003711054526048
corners3d,2,3,4,0.1628654249490969,0.77,0.768,0.05,0.113652744336325,0.842,0.808,0.0009404810588574,0.1741467011813142,0.752,0.64,0.0001951889269794
corners3d,2,4,0,0.125088287874221,0.824,0.716,0.05,0.0894530553005607,0.884,0.776,0.0005751844124006,0.1555593645583315,0.776,0.716,0.0005849318892025
corners3d,2,4,1,0.150884050080918,0.784,0.712,0.05,0.0982841688464618,0.872,0.84,0.0004188949629555,0.1522905899106024,0.778,0.74,0.0006330379935569
corners3d,2,4,2,0.1493305005937848,0.796,0.704,0.05,0.1147618035191987,0.866,0.884,0.0002321378713755,0.1509241242735797,0.784,0.728,0.0001375394508311
corners3d,2,3,0,0.1466649687221734,0.794,0.696,0.05,0.1084375715319703,0.866,0.788,0.0003283485728763,0.163038858678602,0.76,0.728,0.0004923524978899
digits,2,3,1,0.1157411789841777,0.854,0.832,0.05,0.0823642016557982,0.904,0.908,0.0005350810445389,0.120663369544106,0.844,0.808,0.0008627023398124
digits,2,4,1,0.1203393979075076,0.838,0.832,0.05,0.0733310800833883,0.918,0.904,0.0004955132993863,0.1270272807936386,0.838,0.856,0.0005193660866391
digits,2,4,0,0.111688068547807,0.87,0.872,0.05,0.0705823888288085,0.926,0.924,0.0003486025572726,0.1382435473026235,0.824,0.828,0.000303691726009
digits,2,3,4,0.140315281284724,0.806,0.792,0.05,0.074179681249634,0.918,0.916,0.000151910885623,0.1453397664091185,0.828,0.824,0.0001566046399757
digits,2,3,3,0.1458374027642584,0.816,0.74,0.05,0.1119998611216273,0.858,0.836,0.0004187353957418,0.1556873084171929,0.78,0.776,0.0002069669703209
digits,2,3,2,0.1427786524555239,0.81,0.784,0.05,0.09401012044091,0.906,0.888,0.0002239727391403,0.1575369808880265,0.792,0.76,0.0011192347150255
digits,2,3,0,0.1157123845945229,0.86,0.86,0.05,0.0753441266670525,0.934,0.924,0.0004265982035585,0.1352591270020706,0.838,0.86,0.0011744389983363
digits,2,1,1,0.2125944623088012,0.678,0.692,0.05,0.1076853322187335,0.868,0.888,5.014025507140625e-05,0.2110895995547283,0.672,0.676,0.0029951849008432
digits,2,2,3,0.1554212385779671,0.8,0.76,0.05,0.0988128682236861,0.868,0.872,0.0009826775681857,0.1653512438271121,0.774,0.756,0.0003262963114363
digits,2,2,2,0.1528345013694732,0.784,0.8,0.05,0.10636511950271,0.88,0.88,0.0021460280021371,0.1468664879282918,0.788,0.796,0.0003930658014305
digits,2,2,1,0.1323535751947605,0.82,0.856,0.05,0.1053683127449686,0.864,0.868,0.0008218844233499,0.1442162289225053,0.82,0.832,0.0008930331288381
digits,2,2,0,0.1365290720591452,0.832,0.868,0.05,0.0853811613290606,0.89,0.908,0.0017523754980074,0.1328271029664188,0.834,0.84,0.0010951035482337
digits,2,1,4,0.2054009951183287,0.7,0.604,0.05,0.0852236139805562,0.898,0.88,0.0113421143719508,0.2165657818617197,0.62,0.568,0.0013600627447907
digits,2,1,3,0.198607140390041,0.708,0.56,0.05,0.1374464681767699,0.808,0.796,0.0013578687303419,0.220937366365041,0.686,0.52,0.0001860387283794
digits,2,1,2,0.2280244487620821,0.628,0.704,0.05,0.1337125636094725,0.828,0.808,0.0015414673919341,0.2337773189253389,0.632,0.688,0.0005311388037083
digits,2,4,2,0.125762983814423,0.832,0.84,0.05,0.0825073257415811,0.908,0.876,0.0003662390139652,0.1388830702043368,0.826,0.788,0.0004164470523282
digits,2,2,4,0.143463524963094,0.826,0.832,0.05,0.0899779348056234,0.9,0.904,0.0008687838161542,0.1618147735837306,0.812,0.812,0.0001068297506813
digits,2,4,3,0.1444952636039323,0.81,0.752,0.05,0.0953956584047732,0.888,0.88,0.0003743520830807,0.1561514867940848,0.796,0.748,7.361768905933399e-05
digits,2,8,2,0.1456978750147182,0.812,0.78,0.05,0.0765539248324255,0.914,0.876,0.0002677888960314,0.1447419948796528,0.812,0.8,0.0002723547179152
digits,2,5,0,0.1148801143328606,0.85,0.836,0.05,0.0622327525317118,0.93,0.936,0.0005489643951946,0.1136939411097556,0.862,0.856,0.0002651520158163
