"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"26","228.57473992743294","206.65976239346207","4.854079644904046","-0.30976922795032275","0.010099999999999998","0.01","0.010199999999999987","1300","0.00019300248273935446","0","0.00019300248273935446","0.00019300248273935446","26_25:0.012555060268901935","26_25:660","true"
"27","282.3848569265698","229.29881351871543","4.747574990089512","-0.31027519414312993","0.054300000000000015","0.0548","0.05379999999999996","1300","0.00010272395962370621","0","0.00010272395962370621","0.00010272395962370621","27_26:0.0041072447932472","27_26:660","true"
"28","238.34836528635432","101.2008104255004","4.99440242324861","-0.3073714140177614","0.04299999999999993","0.0102","0.07579999999999998","1300","0.00023109289612757678","0","0.00023109289612757678","0.00023109289612757678","28_27:0.007187234317763025;28_29:0.008239715735044895;28_35:0.007268551385051392","28_27:660;28_29:660;28_35:660","true"
"29","348.75697370504525","280.1190750129573","4.6286491295706345","-0.3122408870668324","0.01639999999999997","0.0184","0.014399999999999968","1300","0.00015915426698713596","0","0.00015915426698713596","0.00015915426698713596","","","true"
"30","222.21350715671056","57.40553983979221","4.732965719362059","-0.31090012417705765","0.007900000000000018","0.00880000000000003","0.007","1300","0.0003860962831524279","0","0.0003860962831524279","0.0003860962831524279","30_29:0.013005499655439734;30_31:0.006937791308651298","30_29:660;30_31:660","true"
"31","200.70519772889983","76.8874109178894","4.797666871392719","-0.31025628620305007","0.005300000000000082","0.005800000000000027","0.0048","1300","0.00018821603637512955","0","0.00018821603637512955","0.00018821603637512955","31_32:0.0076300886725066686","31_32:660","true"
"32","237.62945409321944","221.88089360421023","4.910386069926192","-0.3078794303810588","0.006900000000000017","0.00880000000000003","0.005","1300","0.00020241241902951393","0","0.00020241241902951393","0.00020241241902951393","32_36:0.004580493891292781","32_36:660","true"
"33","172.6310975028724","45.37393884742023","4.973179864912966","-0.3075486854907048","0.02059999999999995","0.014800000000000035","0.0264","1300","0.00026233031257123324","0","0.00026233031257123324","0.00026233031257123324","33_39:0.01634657883285942","33_39:660","true"
"34","287.75765563666494","56.20781801201443","4.678636054063652","-0.3124338462946453","0.061899999999999955","0.0608","0.06299999999999994","1300","0.00016632980376586758","0","0.00016632980376586758","0.00016632980376586758","34_43:0.006853340737368596","34_43:660","true"
"35","240.09802647580028","130.94619904109962","4.907602427825297","-0.308301773576246","0.015199999999999991","0.0144","0.016000000000000014","1300","0.00022155588707800476","0","0.00022155588707800476","0.00022155588707800476","35_47:0.006757715866803432","35_47:660","true"
"36","382.54795417505005","415.08361173831014","4.8122759352200895","-0.31175120998201256","0.011700000000000044","0.012","0.011399999999999966","1300","0.00010796946570501166","0","0.00010796946570501166","0.00010796946570501166","36_51:0.004457061086698605","36_51:660","true"
"37","262.363514344138","102.01284951415441","4.837909740474339","-0.30886995110205334","0.013299999999999979","0.012","0.014599999999999946","1300","0.0001626915318559272","0","0.0001626915318559272","0.0001626915318559272","37_38:0.0081913590484185","37_38:660","true"
"38","254.09773045798858","115.98524855413478","4.776679833049806","-0.31016511917022377","0.016799999999999926","0.020199999999999996","0.0134","1300","0.0003753792774321187","0","0.0003753792774321187","0.0003753792774321187","","","true"
"39","339.93096075218216","113.8870017160377","4.917369422541952","-0.30824769981735706","0.026499999999999968","0.026","0.027000000000000024","1300","0.00016428906711952204","0","0.00016428906711952204","0.00016428906711952204","39_38:0.007191260400354782","39_38:660","true"
"40","288.53166790786975","28.681656797520432","4.86820398819914","-0.30859152479413265","0.01419999999999999","0.0134","0.015000000000000013","1300","0.0003516154726033273","0","0.0003516154726033273","0.0003516154726033273","40_41:0.005922195054718332;40_39:0.009765680453857978","40_41:660;40_39:660","true"
"41","223.04557059521463","262.1936805465227","4.93554356404785","-0.30862641143413133","0.006000000000000005","0.007600000000000051","0.0044","1300","0.00031870018514409184","0","0.00031870018514409184","0.00031870018514409184","41_53:0.006928530627377694","41_53:660","true"
"42","169.48616813690094","128.76356862823286","5.063928457005725","-0.3066601274184393","0.011299999999999977","0.0146","0.008000000000000007","1300","0.0003441851991913801","0","0.0003441851991913801","0.0003441851991913801","42_41:0.006414477480452985;42_43:0.005693402095798383","42_41:660;42_43:660","true"
"43","256.07191990299816","232.70266391379886","4.829552892647809","-0.3101290706249939","0.024799999999999933","0.019","0.03059999999999996","1300","0.00014297990073824056","0","0.00014297990073824056","0.00014297990073824056","43_44:0.007722529306800868","43_44:660","true"
"44","286.422912980276","20.159753216929907","4.949171040166026","-0.3085061819189273","0.019100000000000006","0.015199999999999991","0.023","1300","0.00026675116982228267","0","0.00026675116982228267","0.00026675116982228267","44_45:0.0119921892809354","44_45:660","true"
"45","250.73653117457653","29.51153892953476","4.999439570777192","-0.35905492913025383","0.06259999999999999","0.0658","0.05940000000000001","1300","0.000720514147326297","0","0.000720514147326297","0.000720514147326297","","","true"
"46","184.027094502658","173.894589829631","4.853136127313077","-0.3093752065131216","0.011500000000000066","0.013399999999999967","0.0096","1300","0.0003926637511471472","0","0.0003926637511471472","0.0003926637511471472","46_45:0.017163372302112095;46_47:0.010045258047021582","46_45:660;46_47:660","true"
"47","122.28059212989747","97.46195380792267","4.769537734046866","-0.3109329882546267","0.011200000000000099","0.011800000000000033","0.0106","1300","0.00023267882374339424","0","0.00023267882374339424","0.00023267882374339424","","","true"
